name,name_en,logo,rating,city,district,gender,category,min fee
روضة جمعيه الجنوب النسائيه الخيريه,Aljanub Women's National Organization,https://storage.yaschools.com/source//1/t59Z4EVJcWH00YC2m14JMt6EfbgcAxxm.jpg,2.5,عسير,ابها,بنات,أهلية,0
مدارس الاندلس الاهلية -خميس مشيط,Al Andalus National Schools-Khamis Mushait,https://storage.yaschools.com/source//1/RTMISa0X0vxIdpTVTkxvhyCA0YEXczbm.png,2.5,عسير,خميس مشيط,بنات,أهلية,0
مدارس الرواد الاهلية -أبها,.Al rowad National Schools,https://storage.yaschools.com/source//1/9ZCo68HBOx3-v6Emmg9KhT7Y-dVGY7-J.jpg,2.5,عسير,ابها,بنات,أهلية,0
ثانوية مناهل الجامعة,Manahel  Aljameah National School,https://storage.yaschools.com/source//1/HVW_1rx8R7vcd4z8X_sL9rAWBAuHuQ7i.jpg,2.5,عسير,خميس مشيط,بنين,أهلية,0
مدارس الأمجاد الأهلية,Al Amjad National School-Asser,https://yaschools.com/img/default-school-logo.jpg,5,عسير,خميس مشيط,بنين,أهلية,0
مدارس التميز الابداعي الأهليه للبنات,Creative Schools of Excellence for Girls,https://storage.yaschools.com/source//1/Y2aafh02aHgWIMSKIWpqfsjPDvR2ehzl.jpg,2.5,عسير,خميس مشيط,بنات,أهلية,5 ألف
مدرسة محايل العالمية,.Mohayel International School,https://storage.yaschools.com/source//1/-OO4KaQ9DfvVSf964nnEmonHfMbvYVoB.png,2.5,عسير,محايل عسير,بنات,عالمية,0
روضة براعم الابداع,Baraem Al-ibdaa National  School,https://storage.yaschools.com/source//1/Uhj40uwreP-0va9T4prg9bpWeQl7HHX6.jpg,2.5,عسير,محايل عسير,بنات,أهلية,0
مدارس بيشة الاهلية,Bisha National Schools,https://storage.yaschools.com/source//1/lkUdevw-g3t6kRNnFJS8gVTekTf7me7g.jpg,2.5,عسير,بيشة,بنات,أهلية,0
مدرسة جنة الطفل الأهلية,Janat Altifl National School,https://storage.yaschools.com/source//1/ho3cnzKNpCSurp2D4NMiaNTVdsx8JJKM.jpeg,2.5,عسير,بيشة,بنات,أهلية,0
روضة أحلام الأطفال الأهلية,Ahlam Altefel,https://storage.yaschools.com/source//1/wU7xVTmzKo4uW2f0XCiQi7NqP-yPO482.jpg,2.5,عسير,بيشة,بنات,أهلية,0
مدرسة فرائد الابداع الاهلية,Fraed Alebda,https://storage.yaschools.com/source//1/QSRJO-ErRAS5JLdL9g87IJfIlvjg7kTe.jpg,2.5,عسير,بيشة,بنين وبنات,أهلية,0
مدارس التألق العالمية,Bright International School,https://storage.yaschools.com/source//1/F-E_7LXi_uFK0KCqXpuB-_cJS_GbiQmt.jpg,2.5,عسير,بيشة,بنات,عالمية,0
مدرسة رواد بيشة العالمية,Rowad bisha International School,https://storage.yaschools.com/source//1/WKP8Iajya92MdhBFKqsTx1LjCezj98MT.png,2.5,عسير,بيشة,بنات,عالمية,0
مدراس اعلام بيشة الأهلية,Aalam Bishah National Schools,https://storage.yaschools.com/source//1/XqByv8F4niBeeqlcok433gWrkFaZUzM6.jpg,2.5,عسير,بيشة,بنات,أهلية,0
مدارس  نون النموذجية,Non Bisha Model School,https://storage.yaschools.com/source//1/WhgYxZ35fAY-rKbVuM6Ipdaz6gdKOkH0.jpg,5,عسير,بيشة,بنين,أهلية,0
مدارس أنجال بيشة الأهلية,Anjal Bisha National School,https://storage.yaschools.com/source//1/GOn9JjywtCCDukAeN-2YokQIEEIrUIfY.jpg,2.5,عسير,بيشة,بنين,أهلية,0
مدارس مدينة المعرفة,Knowledge City,https://storage.yaschools.com/source//1/sLK_gzeLcksGiwAs3U5NtoMI080hGSGv.png,4.8,عسير,خميس مشيط,بنين وبنات,عالمية,0
مدرسة خطوات العالمية,STEPS Internation School,https://yaschools.com/img/default-school-logo.jpg,2.5,عسير,أحد رفيدة,بنين وبنات,,0
مدارس الأندلس الأهلية بأبها بنين,Al Andalus Schools-Abha,https://storage.yaschools.com/source//1/6BAcjx0idAoskLy1NgAudaDOrtdjNvBX.png,2.5,عسير,ابها,بنين,أهلية,0
مدارس صرح المستقبل الاهلية بخميس مشيط,almustaqbal alahilia Sarh Al-Mustaqbal Private Schools,https://storage.yaschools.com/source//1/GNeIVaJ6U3mot5ZvfnKG2lT5UN2wH0Zj.jpg,2.5,عسير,خميس مشيط,بنين وبنات,أهلية,9 ألف
مدارس رواد عسير,Rowadaseer Sch,https://storage.yaschools.com/source//1/ydBt76wz0e_T5R7ZqKMHgaNxC3rHI9A5.jpeg,5,عسير,خميس مشيط,بنات,أهلية,9 ألف
مدرسة براعم خيبر الاهلية,Baraem khyber National School,https://yaschools.com/img/default-school-logo.jpg,2.5,خيبر,الصلصلة,بنين وبنات,أهلية,0
مدرسة الشرق الأوسط العالمية,Middle East International School,https://storage.yaschools.com/source//1/_6Nis3-uICcvy8WhKThlHtXWVWpR_pBB.jpg,3.1,الرياض,المروج,بنين وبنات,عالمية,18 ألف
منارات الرياض العالمية,manarat alriyadh international school,https://storage.yaschools.com/source/school/logos/4CDn2L_X80vUJlur7ZqAUoVT2H-XnwSC.jpg,3.3,الرياض,الازدهار,بنين وبنات,عالمية,23 ألف
مدارس الافق العالمية,Horizon International School,https://storage.yaschools.com/source/school/logos/RJX8GzQCyCcAEILGlNY04rQrPrDBGb2C.jpg,4.3,الرياض,الورود,بنين وبنات,عالمية,18 ألف
مدارس مياس العالمية,Mayas International School,https://storage.yaschools.com/source/school/logos/MOs4uN5ZHV2AU1yeDHtCca8d65uj3A3u.jpg,3,الرياض,الفيحاء,بنين وبنات,عالمية,13 ألف
مدارس ابن خلدون الأهلية - عرقة,Ibn Khaldoun National Schools,https://storage.yaschools.com/source/school/logos/IeYUyaASCQSIY4IEnlyI6TZBZpTb-Zg4.jpg,2.5,الرياض,عرقة,بنين وبنات,أهلية,14 ألف
مدارس الفارابي العالمية,Al Farabi International School,https://storage.yaschools.com/source/school/logos/AOIiFH_xxCDpDfIPcaQyR5zl0LEkqj9d.jpg,3.7,الرياض,النهضة,بنين وبنات,عالمية,16 ألف
مدارس النهضة العالمية,Al Nahda International School,https://storage.yaschools.com/source/school/logos/ZN6HwNo_ycqgQz5_eM0veA-dm4RzSabV.png,2.9,الرياض,الروضة,بنين وبنات,عالمية,18 ألف
مدارس أضواء الهداية,Adwaa al hedaya national schools,https://storage.yaschools.com/source//1/8N9aPJZd_VVWCoSKsTJ8HX9-IGfwGJDm.jpg,3.5,الرياض,التعاون,بنين,أهلية,16 ألف
مدرسة الصقر العالمية,sager international school,https://storage.yaschools.com/source//1/zK3yfw-X0Tux9MZWCkBQLIN-Z1w6S7zt.jpg,5,الرياض,الضباط,بنين وبنات,عالمية,10 ألف
مدارس الرواد العالمية,Arrowad International Schools,https://storage.yaschools.com/source/school/logos/2Fx7NYGzdgJaGU6wcls7YJQs0hoGy4Qw.png,2.9,الرياض,النزهه,بنين وبنات,عالمية,20 ألف
مدارس العروبة العالمية,Al Oruba International School,https://storage.yaschools.com/source//1/DcZEhb58X1JsC2e7DcfugTnah5YQtXHj.png,3.5,الرياض,الرفيعة,بنين وبنات,عالمية,14 ألف
مدارس بوابة العلم العالمية 2-فرع الروضة,Education Gate International School 2 - al rawdah,https://storage.yaschools.com/source/school/logos/hi5vGCdHp9yR7NqENENzyJSbwf2zqse-.png,3.4,الرياض,الروضة,بنين وبنات,عالمية,12 ألف
مدارس بوابة العلم العالمية,Education Gate International school,https://storage.yaschools.com/source/school/logos/RtsqOnkv_jZMbb8uRFcOCx3P9t4-2qBk.png,4,الرياض,المربع,بنين وبنات,عالمية,11 ألف
مدارس العلمين العالمية,Alalameen international school,https://storage.yaschools.com/source/school/logos/mS8TtMmPM2HqAd-d-9-V9F434S98ElK5.png,5,الرياض,أم الحمام الغربي,بنين وبنات,دولية,20 ألف
مدارس خالد العالمية,khaled international school,https://storage.yaschools.com/source/school/logos/XalDNgF3SJOGUO-T6x8Hc2J6qMoAP0Gg.png,3.2,الرياض,الربوة,بنين وبنات,عالمية,18 ألف
مدارس دلتا العالمية Delta Schools,Delta School,https://storage.yaschools.com/source/school/logos/LImwcXYjBiogqhSKDqONrVG4v48h0MvX.jpg,4.2,الرياض,المروج,بنين وبنات,عالمية,18 ألف
مدرسة ضحى العالمية,Dhuha International School,https://storage.yaschools.com/source/school/logos/uGE4yh2phUbaw_OyDEMkas6ijqpTE3T4.png,2.5,الرياض,المربع,بنات,عالمية,0
