url,type,address,city,area,price_per_week
https://www.accommodationforstudents.com//property/253653,house,,London,Peckham,163.0
https://www.accommodationforstudents.com//property/251807,studio,,London,Cricklewood,240.0
https://www.accommodationforstudents.com//student-hall/336-iq-the-arcade-london,halls,iQ The Arcade,London,Holloway,188.0
https://www.accommodationforstudents.com//property/AGT73945_117560,flat,Flat 7 Saxon House,London,Spitalfields,490.0
https://www.accommodationforstudents.com//property/AGT73945_126182,flat,Flat 1906 Landmark Heights,London,Hackney,370.0
https://www.accommodationforstudents.com//property/AGT73945_123696,flat,Flat 14,London,Five Acre,127.0
https://www.accommodationforstudents.com//student-hall/1920-st-pancras-london,halls,St Pancras,London,St. Pancras,214.0
https://www.accommodationforstudents.com//property/AGT73945_119278,flat,"Flat 16, City Reach, 22",London,Clerkenwell,288.0
https://www.accommodationforstudents.com//property/AGT73945_123064,flat,"Flat 38, 1 Ada Lewis House",London,Holloway,415.0
https://www.accommodationforstudents.com//property/AGT73945_105427,flat,Flat 3 Bantry House,London,Stepney,220.0
https://www.accommodationforstudents.com//student-hall/414-portobello-london,halls,Portobello,London,Portobello,184.0
https://www.accommodationforstudents.com//property/AGT73945_107066,flat,"Flat 12, 1 Saxon House",London,Spitalfields,325.0
https://www.accommodationforstudents.com//property/AGT73945_120599,flat,"Flat 2, 21",London,Clerkenwell,275.0
https://www.accommodationforstudents.com//property/AGT73945_125797,flat,Flat 1,London,Hackney,485.0
https://www.accommodationforstudents.com//student-hall/3550-iq-haywood-house-london,halls,iQ Haywood House,London,West Hampstead,241.0
https://www.accommodationforstudents.com//property/AGT73945_126152,flat,"Flat 3, 14",London,Finsbury Park,330.0
https://www.accommodationforstudents.com//property/AGT73945_126181,flat,"Flat 33, Tothill House",London,Westminster,288.0
https://www.accommodationforstudents.com//property/AGT73945_122995,flat,"Flat 6, 1 Saxon House",London,Spitalfields,290.0
https://www.accommodationforstudents.com//student-hall/305-sunlight-apartments-london,halls,Sunlight Apartments,London,,179.0
https://www.accommodationforstudents.com//property/AGT73945_122159,house,"Flat 11, 1 Saxon House",London,Shoreditch,510.0
https://www.accommodationforstudents.com//property/AGT73945_125505,house,"Flat 25, 22 City Reach",London,Clerkenwell,388.0
https://www.accommodationforstudents.com//property/AGT73945_112159,house,"Flat B, 193",London,Shoreditch,217.0
https://www.accommodationforstudents.com//student-hall/611-scape-greenwich-london,halls,Scape Greenwich,London,Greenwich,277.0
