,id,issue_date,min_age,category,developer,publisher,decription,title,image
10,9P4NJFH17MRT,2020-11-10T00:00:00.0000000Z,18,Action & adventure,UBISOFT MONTREAL,UBISOFT,"This game leverages Smart Delivery allowing access to both the Xbox One title and the Xbox Series X|S title

Build your own Viking legend at 60 FPS and in 4K resolution on Xbox Series X.

Become Eivor, a legendary Viking warrior. Explore England's Dark Ages as you raid your enemies, grow your settlement, and build your political power in the quest to earn a place among the gods in Valhalla.

- Lead epic Viking raids against Saxon troops and fortresses.
- Relive the visceral fighting style of the Vikings as you dual-wield powerful weapons.
- Challenge yourself with the most varied collection of enemies ever in Assassin's Creed.
- Shape the growth of your character and your clan's settlement with every choice you make.
- Explore a Dark Age open world, from the harsh shores of Norway to the beautiful kingdoms of England.",Assassin's Creed® Valhalla Xbox,//store-images.s-microsoft.com/image/apps.12818.14585440003614248.9f7109bf-73f7-4bc7-ba61-1eeb006d905a.c1231c90-28cd-4df6-8381-9dc417a3c3f1
11,C261457LCNMJ,2016-08-30T00:00:00.0000000Z,16,Role playing,CD PROJEKT RED,CD PROJEKT S.A.,"The most awarded game of 2015!
Become a monster slayer for hire and embark on an epic journey to
track down the child of prophecy, a living weapon capable of untold destruction.
INCLUDES ALL EXPANSIONS AND ADDITIONAL CONTENT.",The Witcher 3: Wild Hunt – Game of the Year Edition Xbox,//store-images.s-microsoft.com/image/apps.61962.65858607118306853.bade8222-c0ad-4481-b2d6-b46cc0450658.b0b0c2e5-12e8-4806-a0f3-0de18608a898
12,BNSDHDK45KBR,2016-08-16T00:00:00.0000000Z,0,Card & board,Ubisoft Chengdu,Ubisoft Entertainment,"One of the most iconic classic games which we all grew to know and love! UNO makes its return with an assortment of exciting new features such as added video chat support and an all new theme system which adds more fun!
Match cards either by matching color or value and play action cards to change things up. Race against others to empty your hand before everyone else in either Classic play or customize your experience with a variety of House Rules and match settings to ensure you and your friends never play the same game twice!
Also, get ready to shake things up with new branded themes introducing never-before-seen Theme Cards that really change the way you play the game!",UNO® Xbox,//store-images.s-microsoft.com/image/apps.45448.67582047191807640.1f6942f5-d7bc-46df-a9db-2fa15b28dfdf.e5c7f860-b13e-4f60-ba36-a2eebda2ad46
13,9P0Q1F7P0KR1,2020-09-04T00:00:00.0000000Z,0,Sports,Visual Concepts,2K,"NBA 2K21 is the latest release in the world-renowned, best-selling NBA 2K series. With exciting improvements upon its best-in-class gameplay, competitive and community online features, and deep, varied game modes, NBA 2K21 offers one-of-a-kind immersion into all facets of NBA basketball and culture - where Everything Is Game.

The Xbox One NBA 2K21 experience features several new additions and improvements, where veteran ballers and new players alike will find a variety of basketball experiences to dive into:

REALER THAN EVER - With enhancements across visual presentation, player AI, game modes, and much more, NBA 2K21 continues to push the boundaries as the most authentic, realistic basketball video game experience. Feel the energy of the crowd, the intensity of NBA competition and the entertainment of the most immersive sports product in gaming today.

ELITE GAMEPLAY - Enjoy unparalleled control with the ball in your hands using the advanced Pro Stick. Aim jump shots and layups for a new level of precision and skill, and unlock new signature dribble moves with more effective ball handling.

YOUR G.O.A.T. TEAM - Build your greatest collection of latest NBA stars and legendary ballers in MyTEAM and compete against other ferocious collectors around the world. The more you complete challenges and ball against friends and foes, the better your chances are to uncover the rarest player cards in an ever-expanding set.

NEW MyCAREER STORY - Ascend from high school ball to collegiate programs to the big leagues in a brand new, cinematic MyCAREER experience. Take your MyPLAYER to the top by making the big moves on the court and even bigger moves off of it, and make a name for yourself along this exciting, dramatic journey.

NEW NEIGHBORHOOD LOCALE - Soak in the sun as you ball out in 1v1s, 3v3s, and 5v5s; the new Neighborhood in 2K21 takes your game to the beach. With new visuals, new layout, and new fashion drops, living your best Neighborhood life will never be brighter.

ALL THE LATEST DROPS AND MUSIC - From head to toe, look the part of a baller with all-new apparel and sneaker drops from your favorite clothing, accessory and shoe brands. And ball while taking in the dynamic 2K21 music experience, which features the latest big artists from around the world and breakthrough musicians waiting to be discovered.",NBA 2K21 Xbox,//store-images.s-microsoft.com/image/apps.13256.14522552561148096.1d7d161c-f904-4160-b763-beb06a2a4bb9.760735f6-dce1-4477-b156-380cad26810e
14,C4H36B87SVL1,2018-11-27T00:00:00.0000000Z,16,Action & adventure,Rocksteady Studios,Warner Bros. Games,"Batman: Arkham Collection brings you the definitive versions of Rocksteady's Arkham Trilogy games, including all post-launch content, in one complete collection.

Experience two of the most critically acclaimed titles of the last generation - Batman: Arkham Asylum and Batman: Arkham City, with fully remastered and updated visuals. Complete your experience with the explosive finale to the Arkham series in Batman: Arkham Knight. Become the Batman and utilize a wide range of gadgets and abilities to face off against Gotham's most dangerous villains, finally facing the ultimate threat against the city that Batman is sworn to protect.",Batman: Arkham Collection Xbox,//store-images.s-microsoft.com/image/apps.58098.66605680773719506.5b3e4fed-0747-483d-b407-2d6f4da8c3ba.38b97eea-4e33-4610-be84-77e7a7d0c846
15,9MT8PTGVHX2P,2019-11-14T21:00:00.0000000Z,16,Action & adventure,343 Industries,Microsoft Studios,"XBOX GAME PASS MEMBERS – Download and play by selecting ""Halo: The Master Chief Collection"", “Halo 3: ODST” and “Halo: Reach” under ""In this bundle"". 

Season 7 has arrived as the latest FREE update for Halo: The Master Chief Collection! Enjoy new content like:
•	New Halo 3 Elite Armors: Long requested by the Halo Community, players can now customize their Sangheili warriors with seven new armor sets exclusive to Elites. 
•	New Halo 3 Maps: Explore completely new arena environments with Edge and Waterfall, the first new Halo 3 maps to be added to matchmaking in over a decade. 
•	New Collection Cosmetics: With colored Energy Swords in Halo 3, new armor sets, weapon skins and armor effects for Halo 4 as well as vehicle skins for Halo: Combat Evolved, Season 7 offers players the most diverse set of rewards to date.
•	Featured Exchange Item: Costing no Season Points and celebrating Halo Infinite’s multiplayer reveal, unlock the Halo Infinite-inspired Keystone Helmet for use in Halo 4. 

Improved, refreshed and better than ever; The Master Chief's entire story is now optimized for Xbox Series X|S. Enjoy next-generation features like faster load times, cross-generation play, adjustable FOV, an improved split screen experience and up to 4K resolution at 120FPS.*
Honoring the iconic hero and his epic journey, the Master Chief’s entire story is brought together as Halo: The Master Chief Collection. Halo: Combat Evolved Anniversary, Halo 2: Anniversary, Halo 3, and Halo 4 and now Halo: Reach and Halo 3: ODST are all included in one integrated experience. 

The Master Chief Collection Digital Bundle is the most expansive Halo experience yet, with a total of 67 campaign missions plus more than 120 multiplayer (including the original Halo Combat Evolved maps), Spartan Ops maps and countless ways to play with community created Forge content. Now updated with Xbox Series X enhancements, this is the collection Halo fans have been waiting for!* 

*All Up Disclaimer – Improved split screen and 4K at 120FPS only available on Xbox Series X, 1080p resolution at 120FPS available on Xbox Series S. Some game features, including hidden terminal videos, require broadband internet; ISP fees apply. Online multiplayer features require Xbox Live Gold membership (sold separately). 


The Complete Master Chief Story – Honoring the iconic hero and his epic journey, The Master Chief’s entire story is brought together as Halo: The Master Chief Collection.  Halo: Combat Evolved Anniversary, Halo 2: Anniversary, Halo 3, and Halo 4 are all included with a total of 45 campaign missions plus more than 100 multiplayer maps (including the original Halo Combat Evolved maps) and Spartan Ops maps.  Now updated with Xbox One X enhancements to provide up to 4K UHD and HDR support, this is the collection Halo fans have been waiting for!*



Halo 2: Anniversary – Celebrating Halo 2's 10-year anniversary, the iconic fan favorite returns, featuring a fully re-mastered campaign with “Classic Mode” letting you instantly switch between the re-mastered game and the original game from 2004.  Uncover new Halo 5: Guardians story elements with extended cut scenes, hidden terminal videos, and utilize all new skulls to experience the campaign in a whole new way.  Including all 25 original multiplayer maps just as fans remember them, plus 6 completely re-imagined maps.  Play the game that defined online multiplayer on consoles and get ready for the next Halo chapter.



Newly Updated – Recently refreshed with new features such as local offline LAN support, intelligent download of specific content, faster load times, and Xbox One X enhancements such as 4K UHD and HDR support* as well as optimization and refinements to matchmaking, Halo: The Master Chief Collection continues to be the definitive place to experience the origin of the Master Chief saga.



*All Up Disclaimer – Xbox One X required for 4K UHD and HDR support. Some game features, including hidden terminal videos, require broadband internet; ISP fees apply. Online multiplayer features require Xbox Live Gold membership (sold separately). Halo: Nightfall: 5 episode live action series is streaming only. Xbox One or Windows 8.1 or higher and broadband internet required; ISP fees apply. Must be 17+. Halo: Nightfall dates, content, and features subject to change. See www.xbox.com/halo",Halo: The Master Chief Collection Xbox,//store-images.s-microsoft.com/image/apps.50497.68546154403749555.3f166bda-e4c4-4b51-829c-ff4f7d715475.59de7947-8d2d-4fc5-85eb-82307ab6b915
16,9N2ZDN7NWQKV,2018-10-26T20:00:00.0000000Z,18,Action & adventure,Rockstar Games,Rockstar Games,"Includes Red Dead Redemption 2: Story Mode and Red Dead Online.

Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, Red Dead Redemption 2 is an epic tale of honor and loyalty at the dawn of the modern age. 

America, 1899. Arthur Morgan and the Van der Linde gang are outlaws on the run. With federal agents and the best bounty hunters in the nation massing on their heels, the gang must rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal divisions threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang who raised him.

Red Dead Redemption 2 also includes the shared living world of Red Dead Online – forge your own path as you battle lawmen, outlaw gangs and ferocious wild animals to build a life on the American frontier. Build a camp, ride solo or form a posse and explore everything from the snowy mountains in the North to the swamps of the South, from remote outposts to busy farms and bustling towns. Chase down bounties, hunt, fish and trade, search for exotic treasures, run your own underground Moonshine distillery, or become a Naturalist to learn the secrets of the animal kingdom and much more in a world of astounding depth and detail – includes all new features, gameplay content and additional enhancements released since launch.

Software license at www.rockstargames.com/eula; account terms at www.rockstargames.com/socialclub.  Non-transferable access to special features such as exclusive/unlockable/downloadable/online content/services/functions, multiplayer services or bonus content, may require single-use serial code, additional fee, and/or online account registration (varies 13+).  Access to special features may require internet connection, may not be available to all users or at all times, and may, upon 30 days notice, be terminated, modified, or offered under different terms.  Violation of EULA, Code of Conduct, or other policies may result in restriction or termination of access to game or online account.  For customer & tech support visit www.rockstargames.com/support.

The content of this videogame is purely fictional, is not intended to represent or depict any actual event, person, or entity, and any such similarities are purely coincidental.  The makers and publishers of this videogame do not in any way endorse, condone or encourage engaging in any conduct depicted in this videogame.  Unauthorized copying, reverse engineering, transmission, public performance, rental, pay for play, or circumvention of copy protection is strictly prohibited.  

Rockstar Games, Inc.  ©2005-18. Rockstar Games, Red Dead Redemption, and R* are marks/logos/copyrights of Take-Two Interactive. All other marks and trademarks are properties of their respective owners.  All rights reserved.",Red Dead Redemption 2 Xbox,//store-images.s-microsoft.com/image/apps.21827.68182501197884443.ac728a87-7bc1-4a0d-8bc6-0712072da93c.28aa06ff-ef27-46f4-9462-1f6cfee9c4d9
17,BT21JH17GCVC,2017-08-01T00:00:00.0000000Z,16,Shooter,Respawn,Electronic Arts,"The best way to jump into one of the most surprising shooters of 2016 is with the Titanfall® 2 Ultimate Edition. Not only do you get access to all of the content included in the Digital Deluxe edition, this bundle also includes a Jump Start Pack which instantly unlocks all Titan and Pilot classes and arms you with the funds, Double XP tokens AND a custom warpaint skin for the R-201 Carbine all to get you up to speed on the Frontier. Ultimate Edition includes Titanfall® 2 base game, Deluxe Edition content (Scorch & Ion Prime Titans, Deluxe Edition Warpaint for 6 Titans, Deluxe Edition Camo for all Titans, Pilots & Weapons, Deluxe Edition Nose Arts for 6 Titans, Deluxe Edition Callsign), Jump Start content (All Titans unlocked, all Pilot tacticals unlocked, 500 tokens to unlock loadouts, cosmetics and gear, 10 2x XP tokens), and the Underground R-201 Carbine Warpaint.",Titanfall® 2: Ultimate Edition Xbox,//store-images.s-microsoft.com/image/apps.38883.70066375305131012.7e5d8c08-6bdc-42fc-8afd-c1e176cb829d.8a4fa853-0aea-4309-8797-57402a7a7684
18,9NBLGGH537BL,2017-09-20T15:00:00.0000000Z,7,Action & adventure,Mojang/Microsoft Studios,Microsoft Studios,"Explore randomly generated worlds and build amazing things from the simplest of homes to the grandest of castles. Play in creative mode with unlimited resources or mine deep into the world in survival mode, crafting weapons and armor to fend off the dangerous mobs.

FEATURES

Skin, texture, and mash-up packs from the community! Find out more at minecraft.net/marketplace. 

ADD-ONS! Learn more at minecraft.net/addons, where you can try some examples for free or learn to create your own.

Realms! Play with up to 10 friends cross-platform in worlds that exist anytime, anywhere. Try a free 30-day trial in-app and learn more at http://minecraft.net/realms.

Xbox Live support, including achievements

Cross-platform play for up to eight players across Windows 10 PCs, Android devices, iOS phones and tablets, Xbox One, and virtual reality platforms.

Slash commands to let you tweak how the game plays - you can give items away, summon mobs, change the time of day, and more.
",Minecraft Xbox,//store-images.s-microsoft.com/image/apps.63068.13510798887677013.ec91fa24-ea80-4422-8b95-929529b2fd2f.d5d8fdca-4b0e-4e47-a2e6-45aaa98b6afb
19,9PG26DBX43L1,2020-11-17T16:00:00.0000000Z,18,Fighting,NetherRealm Studios,Warner Bros. Games,"The definitive MK11 experience! Take control of Earthrealm's protectors in the game's TWO critically acclaimed, time-bending Story Campaigns as they race to stop Kronika from rewinding time and rebooting history. Friendships are tested, and new alliances forged, in the battle to save all of existence. MK11 Ultimate features the komplete 37-character roster, including new additions Rain, Mileena & Rambo.

Mortal Kombat 11 showcases every amusing friendship, gory fatality and soul-crushing fatal blow like never before. You'll be so close to the fight, you can feel it!

Includes Mortal Kombat 11, Kombat Pack 1, Aftermath Expansion & Kombat Pack 2.

• Experience 2 robust, critically acclaimed Story Campaigns from MK11 & MK11: Aftermath
• Play as the komplete 37-character roster including newly added fighters Mileena, Rain & Rambo 
• Thousands of skins, weapons & gear for an unprecedented level of fighter customization
• Includes all previous guest fighters: Terminator, Joker, Spawn & RoboCop
• Every mode including Towers of Time, Krypt, Tutorial, Online, Klassic Towers & more
• All Stages, Stage Fatalities, Brutalities, Iconic Fatalities & Friendships

MK11 Ultimate is Smart Delivery enabled and includes FREE upgrades on the Xbox Series X: 

• 4K Dynamic Resolution
• Enhanced Visuals
• Significantly Improved Loading Times
• Cross-Platform/Cross-Gen Compatibility",Mortal Kombat 11 Ultimate Xbox,//store-images.s-microsoft.com/image/apps.42069.13674739434371576.46d1be43-7d5d-4b71-90b0-97829522e27b.91cb4ffb-d3bc-498e-8f57-83eb6937624e
